artist_label_id,source_artist_label,label_attribution_status,external_identity_verified,graph_display_status
ALBL-4bf672cee028548391457cebd1f1182bb30950676ce9a542d313c175cc620d7b,Trouble X,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,Turbo嗣尧,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-36142f7c7512775b0003e10735d3704a243836ce608ddce5ec55d2a9d3b46add,V.O.B.,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-6470d1206d77a5344903490c8022085d5434995cb18f11140acf297a51a4c0f7,Vava,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-fddf535e5b713884564473e370696e9d3ff93e4f56e8f974e38c66f522386646,Wya乌鸦,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-6e584511c3d847a8b7353a50064bbcc569da3e403933cbb51e8a88e2c4fc8f77,YOUNG,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-c1f982b8eb04ff36009623f8516bf6573401da3cbf9ce3a7080b5c95fe25a794,YOUNGLEGO,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ec1a6a5ce2ff06a97a913a555309205d1ec638937f61e263acda0f10b28e85aa,YoungChigga,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971,YuGo,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-0b85ce543a1bd0918047e0b04b3122ff8c8ac71a59f415e4b7185b7267f32139,jinjibewater,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-3aea2c0801f6f0a6142d4a1b36a638bf2b641a219dfd7ac90ea19346b4e1c1ea,ljz329,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-7623ac04cbb961b36d61bf66b703c428420edf9b13d991e454601fa6c6d792ce,neverkilltheape,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-696c842e3ed9a1f7ab0284130f1a3ca48afd3efbd581178c263a594bd6158db6,southsidesamurai,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-58b4f98bab37d9f291c25b06ba57304d2b1c689dcc25c63e4ff642ab5584d304,thomeboydontkill,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-19be539ea558fbcef5a22605c16c9872520ccad409f3e1624e7105b28a7760cb,zhazha,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ca2b6cdd989d353884af9a3241fc6c87697b13c2c01bf21c75a59f16b96fd465,丁飞,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-f5c838e8479f7115b41dccc8470f0a7bf4f9af29972a3900d66118cbac0f88b3,万赛文,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-9d390795617660745271f543e07d046a1559f59554e1df74ef4dc93d904042f3,上官承诺,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-1a992211d5b1262263ca23d60bf8d7103e1eba254b60f9e0e0a05617ae61dc4f,丸,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,乃万,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b9e828d3b8ca5e579e7b8a6233cf2f87100a9347b43e19953a76ef2513129a7e,九块钱,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-e7551c13e3149ba9eb50191c14f8873b88d3513a8faa010ad55609a1cbfa16ee,九维,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-2d4d65583cb6f776c7555a730920d6b02db85273674620dcc7c501e2ec79fd8b,书生,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-d1abbeb24468a2dd24a3cb99187f306713072a342dd425101cd284e3dcb4bc01,乱战们,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-7f3967d3975472e31ce4362dd92a45b49955b2ff273e500482ac5b4118c331c8,二狗子,source_artist_label_not_externally_identity_verified,false,eligible
